[2026-06-12T16:55:57.797Z] GET http://localhost:5173/node_modules/uview-plus/components/u-popup/u-popup.vue → 200 (23ms, 54145B)
[2026-06-12T16:55:57.797Z] GET http://localhost:5173/node_modules/@dcloudio/uni-components/lib/custom-tab-bar/custom-tab-bar.vue → 200 (25ms, 20398B)
[2026-06-12T16:55:57.798Z] GET http://localhost:5173/src/api/city.js?t=1781282745450 → 200 (23ms, 3084B)
[2026-06-12T16:55:57.798Z] GET http://localhost:5173/src/custom-tab-bar/index.vue?t=1781280001042 → 200 (24ms, 36806B)
[2026-06-12T16:55:57.798Z] GET http://localhost:5173/src/pages/home/index.vue?vue&type=style&index=0&scoped=2c5296db&lang.scss → 200 (25ms, 31923B)
[2026-06-12T16:55:57.805Z] GET http://localhost:5173/node_modules/uview-plus/components/u-icon/icons.js?v=e503129f → 200 (25ms, 47229B)
[2026-06-12T16:55:57.805Z] GET http://localhost:5173/node_modules/uview-plus/components/u-icon/props.js?v=e503129f → 200 (25ms, 18253B)
[2026-06-12T16:55:57.805Z] GET http://localhost:5173/node_modules/uview-plus/libs/config/config.js?v=e503129f → 200 (26ms, 5350B)
[2026-06-12T16:55:57.805Z] GET http://localhost:5173/node_modules/uview-plus/libs/mixin/mpMixin.js?v=e503129f → 200 (26ms, 1665B)
[2026-06-12T16:55:57.805Z] GET http://localhost:5173/node_modules/uview-plus/libs/mixin/mixin.js?v=e503129f → 200 (27ms, 79705B)
[2026-06-12T16:55:57.805Z] GET http://localhost:5173/node_modules/uview-plus/libs/function/index.js?v=e503129f → 200 (31ms, 74974B)
[2026-06-12T16:55:57.805Z] GET http://localhost:5173/node_modules/uview-plus/components/u-icon/util.js?v=e503129f → 200 (35ms, 12885B)
[2026-06-12T16:55:57.805Z] GET http://localhost:5173/node_modules/uview-plus/components/u-icon/u-icon.vue?vue&type=style&index=0&scoped=1c933a9a&lang.scss → 200 (35ms, 7127B)
[2026-06-12T16:55:57.813Z] GET http://localhost:5173/node_modules/@dcloudio/uni-components/style/slider.css → 200 (27ms, 2159B)
[2026-06-12T16:55:57.813Z] GET http://localhost:5173/node_modules/uview-plus/components/u-slider/props.js?v=e503129f → 200 (28ms, 20723B)
[2026-06-12T16:55:57.813Z] GET http://localhost:5173/node_modules/uview-plus/components/u-slider/u-slider.vue?vue&type=style&index=0&scoped=3ffc2d59&lang.scss → 200 (28ms, 7212B)
[2026-06-12T16:55:57.826Z] GET http://localhost:5173/node_modules/uview-plus/components/u-overlay/u-overlay.vue → 200 (16ms, 14166B)
[2026-06-12T16:55:57.826Z] GET http://localhost:5173/node_modules/uview-plus/components/u-status-bar/u-status-bar.vue → 200 (16ms, 9282B)
[2026-06-12T16:55:57.826Z] GET http://localhost:5173/node_modules/uview-plus/components/u-safe-bottom/u-safe-bottom.vue → 200 (22ms, 8364B)
[2026-06-12T16:55:57.826Z] GET http://localhost:5173/node_modules/uview-plus/components/u-transition/u-transition.vue → 200 (23ms, 16931B)
[2026-06-12T16:55:57.826Z] GET http://localhost:5173/node_modules/uview-plus/components/u-popup/props.js?v=e503129f → 200 (31ms, 19848B)
[2026-06-12T16:55:57.826Z] GET http://localhost:5173/node_modules/uview-plus/components/u-popup/u-popup.vue?vue&type=style&index=0&scoped=74921bef&lang.scss → 200 (32ms, 8001B)
[2026-06-12T16:55:57.830Z] GET http://localhost:5173/src/custom-tab-bar/index.vue?t=1781280001042&vue&type=style&index=0&scoped=3ac3557a&lang.scss → 200 (28ms, 10132B)
[2026-06-12T16:55:57.832Z] GET http://localhost:5173/node_modules/uview-plus/libs/vue.js?v=e503129f → 200 (42ms, 492B)
[2026-06-12T16:55:57.832Z] GET http://localhost:5173/node_modules/uview-plus/libs/config/props.js?v=e503129f → 200 (42ms, 54156B)
[2026-06-12T16:55:57.836Z] GET http://localhost:5173/node_modules/uview-plus/libs/function/test.js?v=e503129f → 200 (45ms, 49419B)
[2026-06-12T16:55:57.836Z] GET http://localhost:5173/node_modules/uview-plus/libs/util/route.js?v=e503129f → 200 (57ms, 27760B)
[2026-06-12T16:55:57.836Z] GET http://localhost:5173/node_modules/uview-plus/libs/theme/runtime.js?v=e503129f → 200 (65ms, 93489B)
[2026-06-12T16:55:57.837Z] GET http://localhost:5173/node_modules/uview-plus/libs/function/digit.js?v=e503129f → 200 (65ms, 21479B)
[2026-06-12T16:55:57.847Z] GET http://localhost:5173/node_modules/uview-plus/components/u-overlay/props.js?v=e503129f → 200 (53ms, 5262B)
[2026-06-12T16:55:57.848Z] GET http://localhost:5173/node_modules/uview-plus/components/u-overlay/u-overlay.vue?vue&type=style&index=0&scoped=35f7c3e5&lang.scss → 200 (55ms, 6055B)
[2026-06-12T16:55:57.848Z] GET http://localhost:5173/node_modules/uview-plus/components/u-status-bar/props.js?v=e503129f → 200 (55ms, 2619B)
[2026-06-12T16:55:57.848Z] GET http://localhost:5173/node_modules/uview-plus/components/u-status-bar/u-status-bar.vue?vue&type=style&index=0&scoped=c0b45a48&lang.scss → 200 (58ms, 5969B)
[2026-06-12T16:55:57.848Z] GET http://localhost:5173/node_modules/uview-plus/components/u-safe-bottom/props.js?v=e503129f → 200 (58ms, 1279B)
[2026-06-12T16:55:57.849Z] GET http://localhost:5173/node_modules/uview-plus/components/u-safe-bottom/u-safe-bottom.vue?vue&type=style&index=0&scoped=3ec581de&lang.scss → 200 (58ms, 5974B)
[2026-06-12T16:55:57.857Z] GET http://localhost:5173/node_modules/uview-plus/components/u-transition/props.js?v=e503129f → 200 (53ms, 5130B)
[2026-06-12T16:55:57.857Z] GET http://localhost:5173/node_modules/uview-plus/components/u-transition/transitionMixin.js?v=e503129f → 200 (53ms, 39017B)
[2026-06-12T16:55:57.857Z] GET http://localhost:5173/node_modules/uview-plus/components/u-transition/u-transition.vue?vue&type=style&index=0&scoped=0573594d&lang.scss → 200 (59ms, 8822B)
[2026-06-12T16:55:57.875Z] GET http://localhost:5173/node_modules/uview-plus/libs/config/zIndex.js?v=e503129f → 200 (44ms, 2444B)
[2026-06-12T16:55:57.875Z] GET http://localhost:5173/node_modules/uview-plus/libs/config/color.js?v=e503129f → 200 (44ms, 2613B)
[2026-06-12T16:55:57.875Z] GET http://localhost:5173/node_modules/uview-plus/libs/function/http.js?v=e503129f → 200 (45ms, 1053B)
[2026-06-12T16:55:57.875Z] GET http://localhost:5173/node_modules/uview-plus/components/u-action-sheet/actionSheet.js?v=e503129f → 200 (45ms, 4376B)
[2026-06-12T16:55:57.875Z] GET http://localhost:5173/node_modules/uview-plus/components/u-album/album.js?v=e503129f → 200 (50ms, 4245B)
[2026-06-12T16:55:57.875Z] GET http://localhost:5173/node_modules/uview-plus/components/u-alert/alert.js?v=e503129f → 200 (50ms, 3924B)
[2026-06-12T16:55:57.875Z] GET http://localhost:5173/node_modules/uview-plus/components/u-avatar/avatar.js?v=e503129f → 200 (51ms, 4247B)
[2026-06-12T16:55:57.875Z] GET http://localhost:5173/node_modules/uview-plus/components/u-avatar-group/avatarGroup.js?v=e503129f → 200 (51ms, 3415B)
[2026-06-12T16:55:57.875Z] GET http://localhost:5173/node_modules/uview-plus/components/u-back-top/backtop.js?v=e503129f → 200 (54ms, 4056B)
[2026-06-12T16:55:57.875Z] GET http://localhost:5173/node_modules/uview-plus/components/u-badge/badge.js?v=e503129f → 200 (63ms, 4047B)
[2026-06-12T16:55:57.875Z] GET http://localhost:5173/node_modules/uview-plus/components/u-button/button.js?v=e503129f → 200 (63ms, 6664B)
[2026-06-12T16:55:57.875Z] GET http://localhost:5173/node_modules/uview-plus/components/u-calendar/calendar.js?v=e503129f → 200 (64ms, 10222B)
[2026-06-12T16:55:57.875Z] GET http://localhost:5173/node_modules/uview-plus/components/u-calendar-strip/calendarStrip.js?v=e503129f → 200 (64ms, 6069B)
[2026-06-12T16:55:57.875Z] GET http://localhost:5173/node_modules/uview-plus/components/u-car-keyboard/carKeyboard.js?v=e503129f → 200 (64ms, 2236B)
[2026-06-12T16:55:57.875Z] GET http://localhost:5173/node_modules/uview-plus/components/u-card/card.js?v=e503129f → 200 (65ms, 5542B)
[2026-06-12T16:55:57.875Z] GET http://localhost:5173/node_modules/uview-plus/components/u-cell/cell.js?v=e503129f → 200 (65ms, 4157B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-cell-group/cellGroup.js?v=e503129f → 200 (64ms, 2568B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-checkbox/checkbox.js?v=e503129f → 200 (65ms, 4062B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-checkbox-group/checkboxGroup.js?v=e503129f → 200 (65ms, 4603B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-circle-progress/circleProgress.js?v=e503129f → 200 (74ms, 2265B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-code/code.js?v=e503129f → 200 (74ms, 3640B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-code-input/codeInput.js?v=e503129f → 200 (74ms, 4307B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-col/col.js?v=e503129f → 200 (75ms, 2812B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-collapse/collapse.js?v=e503129f → 200 (76ms, 2512B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-collapse-item/collapseItem.js?v=e503129f → 200 (76ms, 4672B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-column-notice/columnNotice.js?v=e503129f → 200 (76ms, 3815B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-count-down/countDown.js?v=e503129f → 200 (77ms, 2800B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-count-to/countTo.js?v=e503129f → 200 (77ms, 3728B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-datetime-picker/datetimePicker.js?v=e503129f → 200 (77ms, 8299B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-divider/divider.js?v=e503129f → 200 (78ms, 3347B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-empty/empty.js?v=e503129f → 200 (79ms, 3731B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-form/form.js?v=e503129f → 200 (80ms, 3330B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-form-item/formItem.js?v=e503129f → 200 (81ms, 3630B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-gap/gap.js?v=e503129f → 200 (81ms, 2799B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-guide/guide.js?v=e503129f → 200 (82ms, 2434B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-grid/grid.js?v=e503129f → 200 (82ms, 2464B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-grid-item/gridItem.js?v=e503129f → 200 (97ms, 2395B)
[2026-06-12T16:55:57.876Z] GET http://localhost:5173/node_modules/uview-plus/components/u-icon/icon.js?v=e503129f → 200 (98ms, 5409B)
[2026-06-12T16:55:57.877Z] GET http://localhost:5173/node_modules/uview-plus/components/u-image/image.js?v=e503129f → 200 (97ms, 4623B)
[2026-06-12T16:55:57.877Z] GET http://localhost:5173/node_modules/uview-plus/components/u-index-anchor/indexAnchor.js?v=e503129f → 200 (98ms, 2874B)
[2026-06-12T16:55:57.877Z] GET http://localhost:5173/node_modules/uview-plus/components/u-index-list/indexList.js?v=e503129f → 200 (98ms, 3263B)
[2026-06-12T16:55:57.877Z] GET http://localhost:5173/node_modules/uview-plus/components/u-input/input.js?v=e503129f → 200 (98ms, 6057B)
[2026-06-12T16:55:57.877Z] GET http://localhost:5173/node_modules/uview-plus/components/u-keyboard/keyboard.js?v=e503129f → 200 (99ms, 5168B)
[2026-06-12T16:55:57.877Z] GET http://localhost:5173/node_modules/uview-plus/components/u-line/line.js?v=e503129f → 200 (99ms, 2980B)
[2026-06-12T16:55:57.877Z] GET http://localhost:5173/node_modules/uview-plus/components/u-line-progress/lineProgress.js?v=e503129f → 200 (100ms, 3041B)
[2026-06-12T16:55:57.877Z] GET http://localhost:5173/node_modules/uview-plus/components/u-link/link.js?v=e503129f → 200 (100ms, 4273B)
[2026-06-12T16:55:57.877Z] GET http://localhost:5173/node_modules/uview-plus/components/u-list/list.js?v=e503129f → 200 (100ms, 4260B)
[2026-06-12T16:55:57.877Z] GET http://localhost:5173/node_modules/uview-plus/components/u-list-item/listItem.js?v=e503129f → 200 (101ms, 2211B)
[2026-06-12T16:55:57.877Z] GET http://localhost:5173/node_modules/uview-plus/components/u-loading-icon/loadingIcon.js?v=e503129f → 200 (101ms, 4662B)
[2026-06-12T16:55:57.877Z] GET http://localhost:5173/node_modules/uview-plus/components/u-loading-page/loadingPage.js?v=e503129f → 200 (102ms, 4187B)
[2026-06-12T16:55:57.877Z] GET http://localhost:5173/node_modules/uview-plus/components/u-loadmore/loadmore.js?v=e503129f → 200 (102ms, 5616B)
[2026-06-12T16:55:57.877Z] GET http://localhost:5173/node_modules/uview-plus/components/u-modal/modal.js?v=e503129f → 200 (103ms, 6306B)
